Unnamed: 0,pump
7 days 04:15:00,1.67
7 days 04:30:00,1.6
7 days 04:45:00,1.71
7 days 05:00:00,2.05
7 days 05:15:00,2.17
7 days 05:30:00,2.13
7 days 05:45:00,2.73
7 days 06:00:00,3.3
7 days 06:15:00,3.5
7 days 06:30:00,4.7
7 days 06:45:00,4.26
7 days 07:00:00,5.17
7 days 07:15:00,5.83
7 days 07:30:00,7.15
7 days 07:45:00,7.38
7 days 08:00:00,8.16
7 days 08:15:00,7.93
7 days 08:30:00,8.53
7 days 08:45:00,8.6
7 days 09:00:00,8.55
7 days 09:15:00,8.94
7 days 09:30:00,8.52
7 days 09:45:00,8.98
7 days 10:00:00,9.26
7 days 10:15:00,8.74
7 days 10:30:00,7.89
7 days 10:45:00,8.26
7 days 11:00:00,7.59
7 days 11:15:00,7.73
7 days 11:30:00,7.38
7 days 11:45:00,6.93
7 days 12:00:00,6.91
7 days 12:15:00,6.73
7 days 12:30:00,7.04
7 days 12:45:00,7.01
7 days 13:00:00,7.23
7 days 13:15:00,6.9
7 days 13:30:00,7.0
7 days 13:45:00,6.9
7 days 14:00:00,6.33
7 days 14:15:00,6.47
7 days 14:30:00,6.51
7 days 14:45:00,6.22
7 days 15:00:00,5.9
7 days 15:15:00,5.67
7 days 15:30:00,6.17
7 days 15:45:00,6.73
7 days 16:00:00,6.62
7 days 16:15:00,6.12
7 days 16:30:00,6.79
7 days 16:45:00,6.93
7 days 17:00:00,6.87
7 days 17:15:00,7.55
7 days 17:30:00,6.51
7 days 17:45:00,6.23
7 days 18:00:00,5.95
7 days 18:15:00,6.64
7 days 18:30:00,6.02
7 days 18:45:00,5.93
7 days 19:00:00,5.59
7 days 19:15:00,5.02
7 days 19:30:00,4.36
7 days 19:45:00,4.19
7 days 20:00:00,3.99
7 days 20:15:00,3.7
7 days 20:30:00,3.69
7 days 20:45:00,3.95
7 days 21:00:00,3.87
7 days 21:15:00,3.78
7 days 21:30:00,3.88
7 days 21:45:00,4.36
7 days 22:00:00,4.09
7 days 22:15:00,3.21
7 days 22:30:00,3.99
7 days 22:45:00,3.63
7 days 23:00:00,3.18
7 days 23:15:00,2.83
7 days 23:30:00,2.5
7 days 23:45:00,2.67
8 days 00:00:00,2.12
8 days 00:15:00,1.97
8 days 00:30:00,2.06
8 days 00:45:00,1.79
8 days 01:00:00,1.67
8 days 01:15:00,1.59
8 days 01:30:00,1.49
8 days 01:45:00,1.4
