Unnamed: 0,p1,p3,p2
3 days 12:15:00,103.64,113.3,41.32
3 days 12:30:00,103.65,113.3,41.33
3 days 12:45:00,103.64,113.31,41.3
3 days 13:00:00,103.64,113.29,41.28
3 days 13:15:00,103.64,113.31,41.35
3 days 13:30:00,103.65,113.3,41.39
3 days 13:45:00,103.65,113.31,41.41
3 days 14:00:00,103.65,113.3,41.37
3 days 14:15:00,103.65,113.3,41.34
3 days 14:30:00,103.65,113.31,41.34
3 days 14:45:00,103.65,113.31,41.3
3 days 15:00:00,103.65,113.31,41.32
3 days 15:15:00,103.65,113.31,41.33
3 days 15:30:00,103.65,113.31,41.23
3 days 15:45:00,103.65,113.31,41.33
3 days 16:00:00,103.65,113.3,41.35
3 days 16:15:00,103.65,113.31,41.31
3 days 16:30:00,103.64,113.27,41.18
3 days 16:45:00,103.65,113.29,41.22
3 days 17:00:00,103.65,113.28,41.19
3 days 17:15:00,103.65,113.28,41.14
3 days 17:30:00,103.64,113.29,41.16
3 days 17:45:00,103.64,113.28,41.11
3 days 18:00:00,103.65,113.29,41.18
3 days 18:15:00,103.65,113.29,41.29
3 days 18:30:00,103.65,113.29,41.14
3 days 18:45:00,103.64,113.29,41.18
3 days 19:00:00,103.65,113.29,41.29
3 days 19:15:00,103.65,113.3,41.24
3 days 19:30:00,103.65,113.32,41.33
3 days 19:45:00,103.65,113.3,41.42
3 days 20:00:00,103.65,113.3,41.39
3 days 20:15:00,103.65,113.3,41.37
3 days 20:30:00,103.65,113.32,41.37
3 days 20:45:00,103.65,113.31,41.42
3 days 21:00:00,103.65,113.31,41.4
3 days 21:15:00,103.65,113.31,41.4
3 days 21:30:00,103.65,113.3,41.39
3 days 21:45:00,103.66,113.32,41.47
3 days 22:00:00,103.66,113.32,41.51
3 days 22:15:00,103.65,113.32,41.48
3 days 22:30:00,103.66,113.32,41.56
3 days 22:45:00,103.66,113.32,41.59
3 days 23:00:00,103.66,113.32,41.62
3 days 23:15:00,103.66,113.32,41.62
3 days 23:30:00,103.66,113.32,41.64
3 days 23:45:00,103.66,113.32,41.64
4 days 00:00:00,103.66,113.32,41.65
4 days 00:15:00,103.66,113.32,41.65
4 days 00:30:00,103.66,113.32,41.66
4 days 00:45:00,103.66,113.32,41.67
4 days 01:00:00,103.66,113.32,41.67
4 days 01:15:00,103.66,113.32,41.67
4 days 01:30:00,103.66,113.32,41.66
4 days 01:45:00,103.66,113.32,41.68
4 days 02:00:00,103.66,113.32,41.67
4 days 02:15:00,103.66,113.32,41.66
4 days 02:30:00,103.66,113.32,41.67
4 days 02:45:00,103.66,113.32,41.68
4 days 03:00:00,103.66,113.32,41.66
4 days 03:15:00,103.66,113.32,41.67
4 days 03:30:00,103.66,113.32,41.64
4 days 03:45:00,103.66,113.32,41.65
4 days 04:00:00,103.66,113.32,41.61
4 days 04:15:00,103.66,113.32,41.62
4 days 04:30:00,103.66,113.32,41.59
4 days 04:45:00,103.66,113.32,41.57
4 days 05:00:00,103.66,113.32,41.47
4 days 05:15:00,103.65,113.32,41.41
4 days 05:30:00,103.65,113.31,41.43
4 days 05:45:00,103.65,113.29,41.4
4 days 06:00:00,103.65,113.31,41.4
4 days 06:15:00,103.65,113.31,41.31
4 days 06:30:00,103.65,113.3,41.33
4 days 06:45:00,103.64,113.3,41.21
4 days 07:00:00,103.65,113.28,41.17
4 days 07:15:00,103.65,113.29,41.27
4 days 07:30:00,103.64,113.3,41.15
4 days 07:45:00,103.65,113.31,41.16
4 days 08:00:00,103.64,113.27,41.03
4 days 08:15:00,103.64,113.28,41.14
4 days 08:30:00,103.64,113.29,41.18
4 days 08:45:00,103.64,113.29,41.09
4 days 09:00:00,103.65,113.29,41.12
4 days 09:15:00,103.64,113.3,41.16
4 days 09:30:00,103.64,113.28,41.1
4 days 09:45:00,103.64,113.28,41.11
4 days 10:00:00,103.64,113.27,41.04
4 days 10:15:00,103.64,113.26,41.05
4 days 10:30:00,103.65,113.27,41.19
4 days 10:45:00,103.65,113.26,41.19
4 days 11:00:00,103.65,113.26,41.14
4 days 11:15:00,103.65,113.27,41.08
4 days 11:30:00,103.65,113.29,41.3
4 days 11:45:00,103.65,113.3,41.34
4 days 12:00:00,103.65,113.31,41.28
4 days 12:15:00,103.65,113.3,41.3
4 days 12:30:00,103.65,113.29,41.26
4 days 12:45:00,103.65,113.3,41.32
4 days 13:00:00,103.65,113.27,41.27
4 days 13:15:00,103.65,113.28,41.21
4 days 13:30:00,103.65,113.3,41.41
4 days 13:45:00,103.65,113.3,41.36
4 days 14:00:00,103.64,113.29,41.2
4 days 14:15:00,103.65,113.29,41.25
4 days 14:30:00,103.65,113.31,41.37
4 days 14:45:00,103.65,113.32,41.33
4 days 15:00:00,103.65,113.28,41.17
4 days 15:15:00,103.65,113.31,41.33
4 days 15:30:00,103.64,113.3,41.21
4 days 15:45:00,103.64,113.3,41.24
4 days 16:00:00,103.64,113.3,41.23
4 days 16:15:00,103.65,113.29,41.15
4 days 16:30:00,103.65,113.27,41.01
4 days 16:45:00,103.64,113.27,41.05
4 days 17:00:00,103.65,113.26,41.14
4 days 17:15:00,103.65,113.27,41.11
4 days 17:30:00,103.65,113.28,41.17
4 days 17:45:00,103.64,113.29,41.22
4 days 18:00:00,103.65,113.29,41.22
4 days 18:15:00,103.64,113.24,41.05
4 days 18:30:00,103.64,113.27,41.18
4 days 18:45:00,103.64,113.3,41.18
4 days 19:00:00,103.65,113.29,41.23
4 days 19:15:00,103.65,113.29,41.28
4 days 19:30:00,103.65,113.26,41.24
4 days 19:45:00,103.65,113.3,41.42
4 days 20:00:00,103.65,113.3,41.37
4 days 20:15:00,103.66,113.31,41.46
4 days 20:30:00,103.65,113.32,41.48
4 days 20:45:00,103.65,113.31,41.39
4 days 21:00:00,103.65,113.31,41.37
4 days 21:15:00,103.65,113.3,41.4
4 days 21:30:00,103.65,113.32,41.47
4 days 21:45:00,103.65,113.31,41.47
4 days 22:00:00,103.66,113.32,41.52
4 days 22:15:00,103.66,113.32,41.54
4 days 22:30:00,103.66,113.32,41.53
4 days 22:45:00,103.66,113.32,41.59
4 days 23:00:00,103.66,113.32,41.59
4 days 23:15:00,103.66,113.32,41.59
4 days 23:30:00,103.66,113.32,41.63
4 days 23:45:00,103.66,113.32,41.64
5 days 00:00:00,103.66,113.32,41.66
5 days 00:15:00,103.66,113.32,41.65
5 days 00:30:00,103.66,113.32,41.67
5 days 00:45:00,103.66,113.32,41.67
5 days 01:00:00,103.66,113.32,41.66
5 days 01:15:00,103.66,113.32,41.66
5 days 01:30:00,103.66,113.32,41.68
5 days 01:45:00,103.66,113.32,41.67
5 days 02:00:00,103.66,113.32,41.68
5 days 02:15:00,103.66,113.32,41.68
5 days 02:30:00,103.66,113.32,41.68
5 days 02:45:00,103.66,113.32,41.67
5 days 03:00:00,103.66,113.32,41.67
5 days 03:15:00,103.66,113.32,41.67
5 days 03:30:00,103.66,113.32,41.66
5 days 03:45:00,103.66,113.32,41.64
5 days 04:00:00,103.66,113.32,41.58
5 days 04:15:00,103.66,113.32,41.61
5 days 04:30:00,103.66,113.32,41.58
5 days 04:45:00,103.66,113.32,41.6
5 days 05:00:00,103.66,113.32,41.49
5 days 05:15:00,103.65,113.32,41.37
5 days 05:30:00,103.65,113.31,41.37
5 days 05:45:00,103.65,113.29,41.39
5 days 06:00:00,103.65,113.3,41.29
5 days 06:15:00,103.65,113.31,41.33
5 days 06:30:00,103.65,113.29,41.29
5 days 06:45:00,103.64,113.27,41.2
5 days 07:00:00,103.65,113.29,41.26
5 days 07:15:00,103.64,113.3,41.26
5 days 07:30:00,103.64,113.29,41.14
5 days 07:45:00,103.64,113.3,41.18
5 days 08:00:00,103.64,113.28,41.15
5 days 08:15:00,103.64,113.29,41.08
5 days 08:30:00,103.64,113.3,41.12
5 days 08:45:00,103.64,113.26,41.0
5 days 09:00:00,103.64,113.28,41.11
5 days 09:15:00,103.64,113.28,41.05
5 days 09:30:00,103.64,113.3,41.2
5 days 09:45:00,103.65,113.29,41.22
5 days 10:00:00,103.64,113.28,41.21
5 days 10:15:00,103.64,113.31,41.26
5 days 10:30:00,103.64,113.3,41.3
5 days 10:45:00,103.65,113.3,41.32
5 days 11:00:00,103.65,113.29,41.21
5 days 11:15:00,103.65,113.3,41.2
5 days 11:30:00,103.65,113.31,41.29
5 days 11:45:00,103.65,113.27,41.24
5 days 12:00:00,103.65,113.31,41.37
5 days 12:15:00,103.65,113.29,41.27
5 days 12:30:00,103.65,113.29,41.33
5 days 12:45:00,103.65,113.31,41.34
5 days 13:00:00,103.65,113.3,41.37
5 days 13:15:00,103.64,113.31,41.34
5 days 13:30:00,103.64,113.31,41.34
5 days 13:45:00,103.65,113.29,41.27
5 days 14:00:00,103.65,113.31,41.35
5 days 14:15:00,103.65,113.31,41.41
5 days 14:30:00,103.65,113.31,41.36
5 days 14:45:00,103.65,113.3,41.36
5 days 15:00:00,103.65,113.29,41.32
5 days 15:15:00,103.65,113.27,41.31
5 days 15:30:00,103.65,113.31,41.38
5 days 15:45:00,103.65,113.3,41.35
5 days 16:00:00,103.65,113.3,41.29
5 days 16:15:00,103.65,113.28,41.17
5 days 16:30:00,103.65,113.29,41.21
5 days 16:45:00,103.65,113.3,41.33
5 days 17:00:00,103.65,113.29,41.19
5 days 17:15:00,103.64,113.28,41.11
5 days 17:30:00,103.64,113.29,41.17
5 days 17:45:00,103.65,113.29,41.25
5 days 18:00:00,103.64,113.29,41.19
5 days 18:15:00,103.65,113.29,41.17
5 days 18:30:00,103.64,113.29,41.25
5 days 18:45:00,103.65,113.31,41.25
5 days 19:00:00,103.65,113.29,41.27
5 days 19:15:00,103.65,113.29,41.35
5 days 19:30:00,103.65,113.26,41.34
5 days 19:45:00,103.65,113.29,41.39
5 days 20:00:00,103.65,113.3,41.3
5 days 20:15:00,103.65,113.31,41.42
5 days 20:30:00,103.65,113.32,41.45
5 days 20:45:00,103.65,113.31,41.34
5 days 21:00:00,103.65,113.31,41.38
5 days 21:15:00,103.65,113.3,41.34
5 days 21:30:00,103.65,113.32,41.5
5 days 21:45:00,103.65,113.31,41.48
5 days 22:00:00,103.66,113.32,41.51
5 days 22:15:00,103.66,113.32,41.53
5 days 22:30:00,103.66,113.32,41.59
5 days 22:45:00,103.66,113.32,41.55
5 days 23:00:00,103.66,113.32,41.58
5 days 23:15:00,103.66,113.32,41.62
5 days 23:30:00,103.66,113.32,41.64
5 days 23:45:00,103.66,113.32,41.63
6 days 00:00:00,103.66,113.32,41.66
6 days 00:15:00,103.66,113.32,41.66
6 days 00:30:00,103.66,113.32,41.67
6 days 00:45:00,103.66,113.32,41.67
6 days 01:00:00,103.66,113.32,41.66
6 days 01:15:00,103.66,113.32,41.66
6 days 01:30:00,103.66,113.32,41.67
6 days 01:45:00,103.66,113.32,41.68
6 days 02:00:00,103.66,113.32,41.68
6 days 02:15:00,103.66,113.32,41.67
6 days 02:30:00,103.66,113.32,41.68
6 days 02:45:00,103.66,113.32,41.67
6 days 03:00:00,103.66,113.32,41.68
6 days 03:15:00,103.66,113.32,41.67
6 days 03:30:00,103.66,113.32,41.65
6 days 03:45:00,103.66,113.32,41.63
6 days 04:00:00,103.66,113.32,41.6
6 days 04:15:00,103.66,113.32,41.57
6 days 04:30:00,103.66,113.32,41.59
6 days 04:45:00,103.66,113.32,41.6
6 days 05:00:00,103.66,113.32,41.52
6 days 05:15:00,103.65,113.32,41.44
6 days 05:30:00,103.65,113.32,41.43
6 days 05:45:00,103.65,113.3,41.32
6 days 06:00:00,103.65,113.31,41.32
6 days 06:15:00,103.65,113.3,41.28
6 days 06:30:00,103.65,113.29,41.26
